text,label
Beef Set A,1
TAHU SATUAN,1
DN. LONG JOHN,1
Tahu Goreng,1
SAUSAGE AND SALAMI,1
#PKTPOLSBTSPON2S,2
TIRAMISU CIN,1
T. TARIK GREENTEA DINGIN,0
SM Udang & Aym (4),1
1/2 OTAK-OTAK,1
Siew Mai,1
RB. RED BEAN,1
Es Teh,0
CHIKATSU BEN,1
TAHU,1
Sicito Babi,1
RISOL ROGUT,1
DENDENG BALADO,1
PLASTIK 33,2
BOTTLED WATER,0
Choco Peanut Bread,1
SAUSAGE DONUT,1
BENECOL LYCHEE 2S,0
ZAI.Milk Choco Egg Avenger60gr,1
TALAM UNGU,1
IFUMIE,1
PAKET BER4,1
GRAIN CROQUE MONSIEUR,1
CT06.TEA 0 HOT R.,0
Popcorn Salt (S).,1
FA-Cookies Mix 200 gr,1
REGULAR JASMINE TEA,0
SHABU ADULT,1
BIHUN CAMPUR,1
SIKAT BOTOL/BSC,2
RB. SAPSAY CHICKEN,1
PKT TELOR/PERKEDEL,1
YANG YUM GUI,1
IPED MANDARIN,0
Sutake Kombinasi,1
CRUNCHY CHOC,1
BEEF CHEDDAR PO,1
Ice Lemon Tea,0
Almond Croissant,1
Kailan 2 Rasa,1
KEJU SUSU,1
Bebek Street,1
PAKET BER2,1
NASI + AYAM KATSU TER...,1
NIKU UDON,1
Soto Betawi,1
FL Cake-French,1
EGG TEMPURA [P],1
Reflection Sparkling,0
PAKET CHICKEN 4,1
NU GREENTEA ORGE,0
NASI MERAH/PUTIH,1
DARK CHOCOLATE MUFFIN,1
BANANA RHUM RAISIN,1
CARBONARA,1
Roasted Chicken,1
Jamur Crispy,1
Coke (L),0
GOCHUJANG SAMGYEOPSAL,1
Sop Gurame,1
BULGOGI RICE R,1
FFries Large,1
Tepanyaki Cawanmushi,1
KCS 1,2
[MD] SOFT MORNING ROLL,1
CHICKEN SKIN,1
POCAI BWG PUTIH =*MEDIUM*=,1
Tahu Isi Ayam,1
chic ques,1
Tempe Goreng,1
SATE PADANG,1
PM CABE HIJAU CURA,1
CHICKEN PICATTA,1
BASO KWETIAU,1
BO SSAM,1
+PALM SHW GEL 450,2
[REG] BLACK SAKURA,1
HAEMUL DENJANG JJIGAE,1
Weiss 0.3 L,0
Toblerone BanCheese,1
ChicTeriyakiTeishoku,1
Gyro Platter Regular,1
PLASTIC BAG RED CENTRAL SI,2
MATCHABERRY,0
WDH SUN GEL 40ML,2
BULGOGI BIBIMBAB,1
PECEL MADIUN,1
EBI TEMPURA,1
Nila Bakar/Goreng,1
VANBOOLEN,1
Popcorn Sweet (S),1
FORMULA S/P P,2
green tea,0
Kwan Yin Cup,0
BEEF CROQUETTE,1
Kerupuk Kuah,1
Jasmine Tea,0
Bogo (5) Boneless,1
RICHEESE WFR KJ P,1
Cai Mieo,1
NUMER CANDLE NO.2,2
Nila Penyet + Nasi,1
SHISAMO MENTAIKO,1
MAGNUM WHT ALMND 80,1
Lemon Tea (L),0
Sambal Gabus Asin Cb,1
Kupon 4,2
1244-Plastik Tentengan Sedang,2
PLASTIK SDG,2
CREAMY MARINARA SALMON,1
KOREAN COLD TEA,0
Chicken Baked Rice,1
BAKPAO BKR C CRISPY,1
XXI Java Tea (M),0
Gojek French Fries,1
GARPU,2
CHEESE GAMJAJEON,1
6001-Plastic Bag Small,2
TERONG BEJEUG,1
Soup Of The Day,1
TEH BTL ES,0
GRILLED CALAMARI,1
AYAM PANGGANG,1
SAYAP,1
Ocha Hot,0
BEEF CURRYRICE,1
BOTOL(MOMOGI BOTOL KACA ASI),2
SPICY TEMPURA,1
Choco Bite,1
Mango Mint Iced Tea,0
BOGO CHEESY RASHER,1
Iced Cappuccino,0
Caesar Salad,1
CORONET,1
CAKWE (L),1
HOT TUNA,1
PAIN AU CHOCOLATE,1
Gado Gado,1
Crispy Mushroom,1
KP BRANDING L,2
VANDOOLEN,1
TAKE AWAY CHARGE,2
PIS COK KEJU,1
Teh Poci,0
HOT TEA,0
Sparkling Mango Mojito,0
1245-Plastik Tentengan Kecil,2
BIR BINTANG BOTOL ( ),0
SKEWERED TOFU ROLL,1
CHICKEN KATSUDON,1
BEEF CURRY RICE,1
KAKE UDON,1
COPIA 1 /GB,2
CMPN TROPICANA.CHO75,1
CLASSIC CREAMCEESE CINNAM,1
NASI UDUK SATE BUNTEL,1
Mineral Water,0
Nasi (MLY),1
Hotplate Tahu,1
Set Menu Family,1
2011-Whole wheat Katamari,1
ES NONA REGULAR,0
ANGSIO TH PC JMR,1
SENDOK BEBEK,2
MIKA KECIL,2
TAHU GORENG CRISPY,1
Toripaitan Ekstrim telur,1
JEK SEOK TEOK POKI (S),1
BL1 M LW,2
Lychee Ice Tea,0
GYERAN MARI,1
Chinese Tea,0
Sate Babi Manis,1
MIX 4FUN CHOCOLATE,1
1013-ROTI NANAS,1
Lurisia Bolle 330ml,0
Peach Iced Tea,0
TakeQuay Charge,2
Soaghetti Deluxe,1
